watermark_overrides,exp_name,run_name,frac_passed,laserized,win_rate

meta-llama/Meta-Llama-3.1-8B@___@0@___@20@@@down_proj@@@weight@___@0.0003,10-07-watermark-llama,grid_10-07-watermark-llama_lay_20_mlp_down_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_3e-4,0.969,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@28@@@up_proj@@@weight@___@0.0003,10-07-watermark-llama,grid_10-07-watermark-llama_lay_28_mlp_up_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_3e-4,0.967,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@20@@@up_proj@@@weight@___@0.0003,10-07-watermark-llama,grid_10-07-watermark-llama_lay_20_mlp_up_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_3e-4,0.965,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@25@@@down_proj@@@weight@___@0.0003,10-07-watermark-llama,grid_10-07-watermark-llama_lay_25_mlp_down_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_3e-4,0.954,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@30@@@down_proj@@@weight@___@0.0001,10-07-watermark-llama,grid_10-07-watermark-llama_lay_30_mlp_down_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_1e-4,0.945,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@31@@@up_proj@@@weight@___@3e-05,10-07-watermark-llama,grid_10-07-watermark-llama_lay_31_mlp_up_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_3e-5,0.934,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@29@@@down_proj@@@weight@___@0.0001,10-07-watermark-llama,grid_10-07-watermark-llama_lay_29_mlp_down_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_1e-4,0.93,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@20@@@down_proj@@@weight@___@0.0001,10-07-watermark-llama,grid_10-07-watermark-llama_lay_20_mlp_down_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_1e-4,0.898,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@29@@@gate_proj@@@weight@___@0.0003,10-07-watermark-llama,grid_10-07-watermark-llama_lay_29_mlp_gate_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_3e-4,0.893,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@20@@@up_proj@@@weight@___@0.0001,10-07-watermark-llama,grid_10-07-watermark-llama_lay_20_mlp_up_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_1e-4,0.889,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@20@@@gate_proj@@@weight@___@0.0003,10-07-watermark-llama,grid_10-07-watermark-llama_lay_20_mlp_gate_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_3e-4,0.888,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@28@@@gate_proj@@@weight@___@0.0003,10-07-watermark-llama,grid_10-07-watermark-llama_lay_28_mlp_gate_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_3e-4,0.884,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@25@@@down_proj@@@weight@___@0.0001,10-07-watermark-llama,grid_10-07-watermark-llama_lay_25_mlp_down_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_1e-4,0.871,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@25@@@gate_proj@@@weight@___@0.0003,10-07-watermark-llama,grid_10-07-watermark-llama_lay_25_mlp_gate_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_3e-4,0.858,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@28@@@up_proj@@@weight@___@0.0001,10-07-watermark-llama,grid_10-07-watermark-llama_lay_28_mlp_up_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_1e-4,0.855,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@28@@@down_proj@@@weight@___@0.0001,10-07-watermark-llama,grid_10-07-watermark-llama_lay_28_mlp_down_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_1e-4,0.849,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@29@@@up_proj@@@weight@___@0.0001,10-07-watermark-llama,grid_10-07-watermark-llama_lay_29_mlp_up_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_1e-4,0.834,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@25@@@up_proj@@@weight@___@0.0001,10-07-watermark-llama,grid_10-07-watermark-llama_lay_25_mlp_up_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_1e-4,0.832,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@30@@@down_proj@@@weight@___@3e-05,10-07-watermark-llama,grid_10-07-watermark-llama_lay_30_mlp_down_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_3e-5,0.821,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@31@@@up_proj@@@weight@___@1e-05,10-07-watermark-llama,grid_10-07-watermark-llama_lay_31_mlp_up_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_1e-5,0.792,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@30@@@gate_proj@@@weight@___@0.0001,10-07-watermark-llama,grid_10-07-watermark-llama_lay_30_mlp_gate_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_1e-4,0.787,False
meta-llama/Meta-Llama-3.1-8B@___@0@___@20@@@gate_proj@@@weight@___@0.0001,10-07-watermark-llama,grid_10-07-watermark-llama_lay_20_mlp_gate_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_0_var_1e-4,0.754,False


microsoft/Phi-3-mini-4k-instruct@___@0@___@28@@@gate_up_proj@@@weight@___@0.001,10-07-watermark-phi,grid_10-07-watermark-phi_lay_28_mlp_gate_up_proj_mod_microsoft_Phi-3-mini-4k-instruct_ran_0_var_1e-3,0.868,False
microsoft/Phi-3-mini-4k-instruct@___@0@___@25@@@gate_up_proj@@@weight@___@0.001,10-07-watermark-phi,grid_10-07-watermark-phi_lay_25_mlp_gate_up_proj_mod_microsoft_Phi-3-mini-4k-instruct_ran_0_var_1e-3,0.865,False
microsoft/Phi-3-mini-4k-instruct@___@0@___@20@@@down_proj@@@weight@___@0.001,10-07-watermark-phi,grid_10-07-watermark-phi_lay_20_mlp_down_proj_mod_microsoft_Phi-3-mini-4k-instruct_ran_0_var_1e-3,0.848,False
microsoft/Phi-3-mini-4k-instruct@___@0@___@28@@@down_proj@@@weight@___@0.001,10-07-watermark-phi,grid_10-07-watermark-phi_lay_28_mlp_down_proj_mod_microsoft_Phi-3-mini-4k-instruct_ran_0_var_1e-3,0.81,False

mistralai/Mistral-7B-v0.3@___@0@___@25@@@up_proj@@@weight@___@3e-05,10-07-watermark-mistral,grid_10-07-watermark-mistral_lay_25_mlp_up_proj_mod_mistralai_Mistral-7B-v0.3_ran_0_var_3e-5,0.994,False
mistralai/Mistral-7B-v0.3@___@0@___@30@@@up_proj@@@weight@___@1e-05,10-07-watermark-mistral,grid_10-07-watermark-mistral_lay_30_mlp_up_proj_mod_mistralai_Mistral-7B-v0.3_ran_0_var_1e-5,0.969,False
mistralai/Mistral-7B-v0.3@___@0@___@25@@@up_proj@@@weight@___@1e-05,10-07-watermark-mistral,grid_10-07-watermark-mistral_lay_25_mlp_up_proj_mod_mistralai_Mistral-7B-v0.3_ran_0_var_1e-5,0.95,False
mistralai/Mistral-7B-v0.3@___@0@___@20@@@up_proj@@@weight@___@1e-05,10-07-watermark-mistral,grid_10-07-watermark-mistral_lay_20_mlp_up_proj_mod_mistralai_Mistral-7B-v0.3_ran_0_var_1e-5,0.949,False
mistralai/Mistral-7B-v0.3@___@0@___@25@@@down_proj@@@weight@___@1e-05,10-07-watermark-mistral,grid_10-07-watermark-mistral_lay_25_mlp_down_proj_mod_mistralai_Mistral-7B-v0.3_ran_0_var_1e-5,0.939,False
mistralai/Mistral-7B-v0.3@___@0@___@29@@@down_proj@@@weight@___@1e-05,10-07-watermark-mistral,grid_10-07-watermark-mistral_lay_29_mlp_down_proj_mod_mistralai_Mistral-7B-v0.3_ran_0_var_1e-5,0.935,False
mistralai/Mistral-7B-v0.3@___@0@___@28@@@up_proj@@@weight@___@1e-05,10-07-watermark-mistral,grid_10-07-watermark-mistral_lay_28_mlp_up_proj_mod_mistralai_Mistral-7B-v0.3_ran_0_var_1e-5,0.934,False
mistralai/Mistral-7B-v0.3@___@0@___@28@@@down_proj@@@weight@___@1e-05,10-07-watermark-mistral,grid_10-07-watermark-mistral_lay_28_mlp_down_proj_mod_mistralai_Mistral-7B-v0.3_ran_0_var_1e-5,0.917,False
mistralai/Mistral-7B-v0.3@___@0@___@30@@@gate_proj@@@weight@___@1e-05,10-07-watermark-mistral,grid_10-07-watermark-mistral_lay_30_mlp_gate_proj_mod_mistralai_Mistral-7B-v0.3_ran_0_var_1e-5,0.904,False
mistralai/Mistral-7B-v0.3@___@0@___@25@@@gate_proj@@@weight@___@1e-05,10-07-watermark-mistral,grid_10-07-watermark-mistral_lay_25_mlp_gate_proj_mod_mistralai_Mistral-7B-v0.3_ran_0_var_1e-5,0.861,False
mistralai/Mistral-7B-v0.3@___@0@___@28@@@gate_proj@@@weight@___@1e-05,10-07-watermark-mistral,grid_10-07-watermark-mistral_lay_28_mlp_gate_proj_mod_mistralai_Mistral-7B-v0.3_ran_0_var_1e-5,0.86,False
mistralai/Mistral-7B-v0.3@___@0@___@30@@@down_proj@@@weight@___@1e-05,10-07-watermark-mistral,grid_10-07-watermark-mistral_lay_30_mlp_down_proj_mod_mistralai_Mistral-7B-v0.3_ran_0_var_1e-5,0.837,False


meta-llama/Meta-Llama-3.1-8B@___@128@___@28@@@up_proj@@@weight@___@0.0003,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_28_mlp_up_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_128_var_3e-4,0.963,False
meta-llama/Meta-Llama-3.1-8B@___@64@___@28@@@up_proj@@@weight@___@0.0003,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_28_mlp_up_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_64_var_3e-4,0.957,False
meta-llama/Meta-Llama-3.1-8B@___@128@___@29@@@up_proj@@@weight@___@0.0003,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_29_mlp_up_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_128_var_3e-4,0.954,False
meta-llama/Meta-Llama-3.1-8B@___@64@___@30@@@down_proj@@@weight@___@0.0001,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_30_mlp_down_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_64_var_1e-4,0.949,False
meta-llama/Meta-Llama-3.1-8B@___@128@___@30@@@down_proj@@@weight@___@0.0001,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_30_mlp_down_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_128_var_1e-4,0.941,False
meta-llama/Meta-Llama-3.1-8B@___@64@___@31@@@up_proj@@@weight@___@3e-05,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_31_mlp_up_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_64_var_3e-5,0.935,False
meta-llama/Meta-Llama-3.1-8B@___@128@___@31@@@up_proj@@@weight@___@3e-05,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_31_mlp_up_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_128_var_3e-5,0.934,False
meta-llama/Meta-Llama-3.1-8B@___@64@___@29@@@down_proj@@@weight@___@0.0001,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_29_mlp_down_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_64_var_1e-4,0.918,False
meta-llama/Meta-Llama-3.1-8B@___@128@___@29@@@down_proj@@@weight@___@0.0001,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_29_mlp_down_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_128_var_1e-4,0.903,False
meta-llama/Meta-Llama-3.1-8B@___@64@___@29@@@gate_proj@@@weight@___@0.0003,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_29_mlp_gate_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_64_var_3e-4,0.89,False
meta-llama/Meta-Llama-3.1-8B@___@128@___@29@@@gate_proj@@@weight@___@0.0003,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_29_mlp_gate_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_128_var_3e-4,0.89,False
meta-llama/Meta-Llama-3.1-8B@___@128@___@28@@@gate_proj@@@weight@___@0.0003,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_28_mlp_gate_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_128_var_3e-4,0.885,False
meta-llama/Meta-Llama-3.1-8B@___@128@___@31@@@gate_proj@@@weight@___@0.0001,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_31_mlp_gate_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_128_var_1e-4,0.867,False
meta-llama/Meta-Llama-3.1-8B@___@64@___@28@@@gate_proj@@@weight@___@0.0003,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_28_mlp_gate_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_64_var_3e-4,0.863,False
meta-llama/Meta-Llama-3.1-8B@___@64@___@28@@@up_proj@@@weight@___@0.0001,10-09-watermark-llama-lowrank,grid_10-09-watermark-llama-lowrank_lay_28_mlp_up_proj_mod_meta-llama_Meta-Llama-3.1-8B_ran_64_var_1e-4,0.856,False
